s,Pc
951.0,5.4699031548003955e-05
952.0,5.4578441625966806e-05
953.0,5.445824374273576e-05
954.0,5.4338436214419655e-05
955.0,5.421901736611472e-05
956.0,5.409998553184714e-05
957.0,5.398133905451626e-05
958.0,5.386307628583807e-05
959.0,5.3745195586289157e-05
960.0,5.362769532505113e-05
961.0,5.3510573879955304e-05
962.0,5.339382963742794e-05
963.0,5.327746099243584e-05
964.0,5.3161466348432284e-05
965.0,5.30458441173035e-05
966.0,5.293059271931533e-05
967.0,5.2815710583060514e-05
968.0,5.270119614540616e-05
969.0,5.258704785144173e-05
970.0,5.247326415442736e-05
971.0,5.235984351574254e-05
972.0,5.2246784404835195e-05
973.0,5.213408529917116e-05
974.0,5.2021744684183935e-05
975.0,5.190976105322491e-05
976.0,5.1798132907513894e-05
977.0,5.168685875609002e-05
978.0,5.1575937115762986e-05
979.0,5.146536651106466e-05
980.0,5.135514547420109e-05
981.0,5.124527254500476e-05
982.0,5.113574627088726e-05
983.0,5.102656520679227e-05
984.0,5.0917727915148914e-05
985.0,5.080923296582543e-05
986.0,5.0701078936083135e-05
987.0,5.0593264410530785e-05
988.0,5.048578798107927e-05
989.0,5.037864824689653e-05
990.0,5.027184381436293e-05
991.0,5.0165373297026826e-05
992.0,5.005923531556058e-05
993.0,4.995342849771679e-05
994.0,4.984795147828484e-05
995.0,4.974280289904781e-05
996.0,4.9637981408739655e-05
997.0,4.953348566300275e-05
998.0,4.94293143243456e-05
999.0,4.9325466062101014e-05
1000.0,4.922193955238445e-05
1001.0,4.911873347805273e-05
1002.0,4.901584652866301e-05
1003.0,4.8913277400432077e-05
1004.0,4.881102479619588e-05
1005.0,4.8709087425369404e-05
1006.0,4.8607464003906726e-05
1007.0,4.850615325426156e-05
1008.0,4.8405153905347825e-05
1009.0,4.830446469250064e-05
1010.0,4.8204084357437615e-05
1011.0,4.81040116482203e-05
1012.0,4.800424531921598e-05
1013.0,4.790478413105977e-05
1014.0,4.780562685061685e-05
1015.0,4.7706772250945124e-05
1016.0,4.760821911125803e-05
