s,Pc
484.0,0.16034
485.0,0.16034
486.0,0.16034
487.0,0.16034
488.0,0.16034
489.0,0.16034
490.0,0.16034
491.0,0.16034
492.0,0.16034
493.0,0.16034
494.0,0.16034
495.0,0.16034
496.0,0.16034
497.0,0.16034
498.0,0.16034
499.0,0.16034
500.0,0.16034
501.0,0.16034
502.0,0.16034
503.0,0.16034
504.0,0.16034
505.0,0.16034
506.0,0.16034
507.0,0.16034
508.0,0.16034
509.0,0.16034
510.0,0.16034
511.0,0.16034
512.0,0.16034
513.0,0.16034
514.0,0.16034
515.0,0.16034
516.0,0.16034
517.0,0.16034
518.0,0.16034
519.0,0.16034
520.0,0.16034
521.0,0.16034
522.0,0.16034
523.0,0.16034
524.0,0.16034
525.0,0.16034
526.0,0.16034
527.0,0.16034
528.0,0.16034
529.0,0.16034
530.0,0.16034
531.0,0.16034
532.0,0.16034
533.0,0.16034
534.0,0.16034
535.0,0.16034
536.0,0.16034
537.0,0.16034
538.0,0.16034
539.0,0.16034
540.0,0.16034
541.0,0.16034
542.0,0.16034
543.0,0.16034
544.0,0.16034
545.0,0.16034
546.0,0.16034
547.0,0.16034
548.0,0.16034
549.0,0.16034
550.0,0.16034
551.0,0.16034
552.0,0.16034
553.0,0.16034
554.0,0.16034
555.0,0.16034
556.0,0.16034
557.0,0.16034
558.0,0.16034
559.0,0.16034
560.0,0.16034
561.0,0.16034
562.0,0.16034
563.0,0.16034
564.0,0.16034
565.0,0.16034
566.0,0.16034
567.0,0.16034
568.0,0.16034
569.0,0.16034
570.0,0.16034
571.0,0.16034
572.0,0.16034
573.0,0.16034
574.0,0.16034
575.0,0.16034
576.0,0.16034
577.0,0.16034
578.0,0.16034
579.0,0.16034
580.0,0.16034
581.0,0.16034
582.0,0.16034
583.0,0.16034
584.0,0.16034
585.0,0.16034
586.0,0.16034
587.0,0.16034
588.0,0.16034
589.0,0.16034
590.0,0.16034
591.0,0.16034
592.0,0.16034
593.0,0.16034
594.0,0.16034
595.0,0.16034
596.0,0.16034
597.0,0.16034
598.0,0.16034
599.0,0.16034
600.0,0.16034
601.0,0.16034
602.0,0.16034
603.0,0.16034
604.0,0.16034
605.0,0.16034
606.0,0.16034
607.0,0.16034
608.0,0.16034
609.0,0.16034
610.0,0.16034
611.0,0.16034
612.0,0.16034
613.0,0.16034
614.0,0.16034
615.0,0.16034
616.0,0.16034
617.0,0.16034
618.0,0.16034
619.0,0.16034
620.0,0.16034
621.0,0.16034
622.0,0.16034
623.0,0.16034
624.0,0.16034
625.0,0.16034
626.0,0.16034
627.0,0.16034
628.0,0.16034
629.0,0.16034
630.0,0.16034
631.0,0.16034
632.0,0.16034
633.0,0.16034
634.0,0.16034
635.0,0.16034
636.0,0.16034
637.0,0.16034
638.0,0.16034
639.0,0.16034
640.0,0.16034
641.0,0.16034
642.0,0.16034
643.0,0.16034
644.0,0.16034
645.0,0.16034
646.0,0.16034
647.0,0.16034
648.0,0.16034
649.0,0.16034
650.0,0.16034
651.0,0.16034
652.0,0.16034
653.0,0.16034
654.0,0.16034
655.0,0.16034
656.0,0.16034
657.0,0.16034
658.0,0.16034
659.0,0.16034
660.0,0.16034
661.0,0.16034
662.0,0.16034
663.0,0.16034
664.0,0.16034
665.0,0.16034
666.0,0.16034
667.0,0.16034
668.0,0.16034
669.0,0.16034
670.0,0.16034
671.0,0.16034
672.0,0.16034
673.0,0.16034
674.0,0.16034
675.0,0.16034
676.0,0.16034
677.0,0.16034
678.0,0.16034
679.0,0.16034
680.0,0.16034
681.0,0.16034
682.0,0.16034
683.0,0.16034
684.0,0.16034
685.0,0.16034
686.0,0.16034
687.0,0.16034
688.0,0.16034
689.0,0.16034
690.0,0.16034
691.0,0.16034
692.0,0.16034
693.0,0.16034
694.0,0.16034
695.0,0.16034
696.0,0.16034
697.0,0.16034
698.0,0.16034
699.0,0.16034
700.0,0.16034
701.0,0.16034
702.0,0.16034
703.0,0.16034
704.0,0.16034
705.0,0.16034
706.0,0.16034
707.0,0.16034
708.0,0.16034
709.0,0.16034
710.0,0.16034
711.0,0.16034
712.0,0.16034
713.0,0.16034
714.0,0.16034
715.0,0.16034
716.0,0.16034
717.0,0.16034
718.0,0.16034
719.0,0.16034
720.0,0.16034
721.0,0.16034
722.0,0.16034
723.0,0.16034
724.0,0.16034
725.0,0.16034
726.0,0.16034
727.0,0.16034
728.0,0.16034
729.0,0.16034
730.0,0.16034
731.0,0.16034
732.0,0.16034
733.0,0.16034
734.0,0.16034
735.0,0.16034
736.0,0.16034
737.0,0.16034
738.0,0.16034
739.0,0.16034
740.0,0.16034
741.0,0.16034
742.0,0.16034
743.0,0.16034
744.0,0.16034
745.0,0.16034
746.0,0.16034
747.0,0.16034
748.0,0.16034
749.0,0.16034
750.0,0.16034
751.0,0.16034
752.0,0.16034
753.0,0.16034
754.0,0.16034
755.0,0.16034
756.0,0.16034
757.0,0.16034
758.0,0.16034
759.0,0.16034
760.0,0.16034
761.0,0.16034
762.0,0.16034
763.0,0.16034
764.0,0.16034
765.0,0.16034
766.0,0.16034
767.0,0.16034
768.0,0.16034
769.0,0.16034
770.0,0.16034
771.0,0.16034
772.0,0.16034
773.0,0.16034
774.0,0.16034
775.0,0.16034
776.0,0.16034
777.0,0.16034
778.0,0.16034
779.0,0.16034
780.0,0.16034
781.0,0.16034
782.0,0.16034
783.0,0.16034
784.0,0.16034
785.0,0.16034
786.0,0.16034
787.0,0.16034
788.0,0.16034
789.0,0.16034
790.0,0.16034
791.0,0.16034
792.0,0.16034
793.0,0.16034
794.0,0.16034
795.0,0.16034
796.0,0.16034
797.0,0.16034
798.0,0.16034
799.0,0.16034
800.0,0.16034
801.0,0.16034
802.0,0.16034
803.0,0.16034
804.0,0.16034
805.0,0.16034
806.0,0.16034
807.0,0.16034
808.0,0.16034
809.0,0.16034
810.0,0.16034
811.0,0.16034
812.0,0.16034
813.0,0.16034
814.0,0.16034
815.0,0.16034
816.0,0.16034
817.0,0.16034
818.0,0.16034
819.0,0.16034
820.0,0.16034
821.0,0.16034
822.0,0.16034
823.0,0.16034
824.0,0.16034
825.0,0.16034
826.0,0.16034
827.0,0.16034
828.0,0.16034
829.0,0.16034
830.0,0.16034
831.0,0.16034
832.0,0.16034
833.0,0.16034
834.0,0.16034
835.0,0.16034
836.0,0.16034
837.0,0.16034
838.0,0.16034
839.0,0.16034
840.0,0.16034
841.0,0.16034
842.0,0.16034
843.0,0.16034
844.0,0.16034
845.0,0.16034
846.0,0.16034
847.0,0.16034
848.0,0.16034
849.0,0.16034
850.0,0.16034
851.0,0.16034
852.0,0.16034
853.0,0.16034
854.0,0.16034
855.0,0.16034
856.0,0.16034
857.0,0.16034
858.0,0.16034
859.0,0.16034
860.0,0.16034
861.0,0.16034
862.0,0.16034
863.0,0.16034
